N.º;Localidad;Superficie km²2​;Población3​;Densidad hab/km²
1;Usaquén;65.54;501 999;7 686.4
2;Chapinero;35.78;139 701;3 661.88
3;Santa Fe;44.82;110 048;2 436.3
4;San Cristóbal;48.83;404 697;8 243.98
5;Usme;122.63;457 302;2 126.39
6;Tunjuelito;10.79;199 430;20 124.11
7;Bosa;24.22;673 077;28 126.91
8;Kennedy;38.72;1 088 443;28 205.31
9;Fontibón;33.32;394 648;11 858.41
10;Engativá;36.06;887 080;24 723.52
11;Suba;101.07;1 218 513;12 117.27
12;Barrios Unidos;11.92;243 465;20 459.24
13;Teusaquillo;14.2;153 025;10 784
14;Los Mártires;6.53;99 119;15 225.65
15;Antonio Nariño;4.99;109 176;22 372.12
16;Puente Aranda;17.24;258 287;14 921.25
17;La Candelaria;1.83;24 088;11 693.2
18;Rafael Uribe Uribe;13.44;374 246;27 060.44
19;Ciudad Bolívar;130.0;733 859;5 442.83
20;Sumapaz;780.96;6 531;8.36
