COMBUSTIBLE,ESTADO,FECHA_REGISTRO,ANIO_REGISTRO,CLASE,DEPARTAMENTO,CANTIDAD
ELECTRICO,ACTIVO,09/28/2015 12:00:00 AM,2015,MOTOCICLETA,Caqueta,1
ELECTRICO,ACTIVO,10/25/2021 12:00:00 AM,2021,CAMIONETA,Cundinamarca,1
ELECTRICO,ACTIVO,10/31/2019 12:00:00 AM,2019,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,08/27/2021 12:00:00 AM,2021,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,06/10/2020 12:00:00 AM,2020,CAMIONETA,Antioquia,1
ELECTRICO,ACTIVO,03/14/2014 12:00:00 AM,2014,MOTOCICLETA,Bogota D.C.,1
ELECTRICO,ACTIVO,06/11/2021 12:00:00 AM,2021,MOTOTRICICLO,Cundinamarca,1
ELECTRICO,ACTIVO,12/22/2021 12:00:00 AM,2021,CAMIONETA,Bogota D.C.,1
ELECTRICO,ACTIVO,06/23/2021 12:00:00 AM,2021,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,12/23/2016 12:00:00 AM,2016,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,03/18/2021 12:00:00 AM,2021,AUTOMOVIL,Norte de Santander,1
ELECTRICO,ACTIVO,09/17/2021 12:00:00 AM,2021,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,11/10/2016 12:00:00 AM,2016,MOTOCARRO,Cundinamarca,1
ELECTRICO,ACTIVO,10/11/2016 12:00:00 AM,2016,MOTOCARRO,Cundinamarca,1
ELECTRICO,ACTIVO,01/22/2013 12:00:00 AM,2013,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,09/05/2018 12:00:00 AM,2018,CUADRICICLO,Bogota D.C.,1
ELECTRICO,ACTIVO,10/29/2021 12:00:00 AM,2021,CUADRICICLO,Bogota D.C.,1
ELECTRICO,ACTIVO,01/14/2020 12:00:00 AM,2020,CUADRICICLO,Bogota D.C.,1
ELECTRICO,ACTIVO,05/30/2019 12:00:00 AM,2019,CUADRICICLO,Antioquia,1
ELECTRICO,ACTIVO,12/10/2019 12:00:00 AM,2019,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,01/31/2019 12:00:00 AM,2019,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,05/21/2021 12:00:00 AM,2021,MOTOCICLETA,Atlantico,1
ELECTRICO,ACTIVO,12/03/2020 12:00:00 AM,2020,CAMIONETA,Quindio,1
ELECTRICO,ACTIVO,07/12/2021 12:00:00 AM,2021,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,10/03/2018 12:00:00 AM,2018,CAMIONETA,Antioquia,1
ELECTRICO,ACTIVO,09/20/2019 12:00:00 AM,2019,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,03/04/2021 12:00:00 AM,2021,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,12/27/2018 12:00:00 AM,2018,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,03/16/2012 12:00:00 AM,2012,MOTOCICLETA,Santander,1
ELECTRICO,ACTIVO,12/26/2019 12:00:00 AM,2019,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,02/15/2018 12:00:00 AM,2018,CUADRICICLO,Valle del Cauca,1
ELECTRICO,ACTIVO,12/10/2020 12:00:00 AM,2020,CAMION,Antioquia,1
ELECTRICO,ACTIVO,08/06/2015 12:00:00 AM,2015,CAMIONETA,Valle del Cauca,1
ELECTRICO,ACTIVO,08/28/2021 12:00:00 AM,2021,AUTOMOVIL,Bogota D.C.,1
ELECTRICO,ACTIVO,07/14/2014 12:00:00 AM,2014,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,08/30/2013 12:00:00 AM,2013,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,12/19/2019 12:00:00 AM,2019,CAMION,Antioquia,1
ELECTRICO,ACTIVO,05/13/2021 12:00:00 AM,2021,CUADRICICLO,Bogota D.C.,1
ELECTRICO,ACTIVO,07/21/2021 12:00:00 AM,2021,AUTOMOVIL,Bolivar,1
ELECTRICO,ACTIVO,01/26/2022 12:00:00 AM,2022,BUS,Bogota D.C.,1
ELECTRICO,ACTIVO,02/15/2012 12:00:00 AM,2012,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,07/07/2014 12:00:00 AM,2014,MOTOCICLETA,Bogota D.C.,1
ELECTRICO,ACTIVO,11/03/2017 12:00:00 AM,2017,AUTOMOVIL,Antioquia,1
ELECTRICO,ACTIVO,08/27/2013 12:00:00 AM,2013,MOTOCICLETA,Antioquia,1
ELECTRICO,ACTIVO,02/28/2019 12:00:00 AM,2019,CAMIONETA,Antioquia,1
